Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
SIM LIM TOWER,"700,000",398.27,"1,758",18 Apr 2018,10 JALAN BESAR #06-05,Resale,Strata,37,"18,919",Office,Freehold,08,20,208787,Central Region,Rochor
THE CENTRAL,"12,500,000","4,133.38","3,024",20 Apr 2018,"8 EU TONG SEN STREET #18-94,95,96,97",Resale,Strata,384,"32,552",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
BALMORAL PLAZA,"1,450,000",559.73,"2,591",20 Apr 2018,271 BUKIT TIMAH ROAD #03-03,Resale,Strata,52,"27,885",Office,Freehold,10,25,259708,Central Region,Newton
ORCHARD TOWERS,"800,000",258.34,"3,097",23 Apr 2018,1 CLAYMORE DRIVE #02-17,Resale,Strata,24,"33,333",Office,Freehold,09,22,229594,Central Region,Orchard
INTERNATIONAL PLAZA,"920,000",473.62,"1,943",23 Apr 2018,10 ANSON ROAD #10-18,Resale,Strata,44,"20,909",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
VISION EXCHANGE,"1,284,000",516.67,"2,485",23 Apr 2018,2 VENTURE DRIVE #14-03,Resale,Strata,48,"26,750",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
PENINSULA PLAZA,"5,255,400","2,766.35","1,900",25 Apr 2018,"111 NORTH BRIDGE ROAD #12-05,06",Resale,Strata,257,"20,449",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
PEK CHUAN BUILDING,"1,250,000","1,313.21",952,26 Apr 2018,116 LAVENDER STREET #02-05,Resale,Strata,122,"10,246",Office,99 yrs from 02/05/1978,12,33,338730,Central Region,Kallang
ORCHARD PLAZA,"980,000",581.26,"1,686",26 Apr 2018,150 ORCHARD ROAD #08-02,Resale,Strata,54,"18,148",Office,99 yrs from 02/06/1977,09,23,238841,Central Region,Orchard
GOLDHILL PLAZA,"4,000,000",914.94,"4,372",26 Apr 2018,1 GOLDHILL PLAZA #01-27,Resale,Strata,85,"47,059",Office,999 yrs from 25/07/1972,11,30,308899,Central Region,Novena
SUNTEC CITY,"3,642,500","1,550.02","2,350",27 Apr 2018,7 TEMASEK BOULEVARD #07-01,Resale,Strata,144,"25,295",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
CENTRIUM SQUARE,"1,610,200",613.55,"2,624",27 Apr 2018,320 SERANGOON ROAD #12-05,New Sale,Strata,57,"28,249",Office,Freehold,08,21,218108,Central Region,Kallang
